LESSON;ORTHOGRAPHY;NB WORDS;AUDIOFILE NAME;WORD SWAP INDEX;PENGUIN WORDS;PENGUIN SENTENCES;SECTOR NUMBER
8;Lili a lu.;3;Phrase_001;3;0;0;3
8;Eli a lu.;3;Phrase_002;3;0;0;3
9;Il a mal.;3;Phrase_003;3;0;0;3
9;Milo a allumé.;3;Phrase_004;3;0;0;3
10;Sami a le lama.;4;Phrase_005;4;0;0;3
10;Léo a semé le lys.;5;Phrase_006;5;0;0;3
10;Sami a le lasso.;4;Phrase_007;4;0;0;3
10;Léo a le lasso.;4;-;4;0;0;3
10;Il salua Mémé.;3;Phrase_008;3;0;0;3
10;Il a salé le salami.;5;Phrase_009;5;0;0;3
11;Maria a ramassé l'iris.;4;Phrase_013;4;0;0;3
11;Lili a ri.;3;Phrase_014;3;0;0;3
11;Rémi l'a sali !;4;Phrase_015;4;0;0;3
11;Léo a semé l'iris.;4;Phrase_016;4;0;0;3
11;Maria l'a ramassé.;3;-;3;0;0;3
11;Rémi a sali le sol.;5;Phrase_012;5;0;0;3
11;Il a salé le surimi.;5;-;5;0;0;3
12;Milou a sali le sol.;5;-;5;0;0;4
12;Rémi a roulé le salami.;5;Phrase_021;5;0;0;4
12;Le salami a roulé sur le sol !;8;-;8;0;0;4
12;Milou a ramassé le sou.;5;Phrase_019;5;0;0;4
12;Milou a ramassé le salami.;5;Phrase_022;5;0;0;4
12;Sami ou Mémé salua le lama.;6;-;6;0;0;4
12;Maria l'a sali.;3;Phrase_010;3;0;0;4
12;Il l'a ramassé.;3;-;3;0;0;4
12;Il a roulé le sou.;5;-;4;0;0;4
13;la mie;2;-;-;1;0;4
13;le mot;2;-;-;1;0;4
13;le rat;2;-;-;1;0;4
13;la rue;2;-;-;1;0;4
13;la rame;2;-;-;1;0;4
13;le lilas;2;-;-;1;0;4
13;le mulot;2;-;-;1;0;4
13;la mousse;2;-;-;1;0;4
13;le sourire;2;-;-;1;0;4
13;le Sioux;2;-;-;1;0;4
13;le lit;2;-;-;1;0;4
13;Il sourit.;2;Phrase_023;-;0;1;4
13;"Le lama a le lasso. Il a lié Mémé. Alarmée, Mémé a assommé le lama. Il a mal.";18;Phrase_018;-;0;1;4
13;Léo a lu le mot.;5;Phrase_024;-;0;1;4
13;Lili a lu le mot.;5;-;-1;0;1;4
13;Salut le Sioux !;4;Phrase_025;-;0;1;4
13;Le salami a roulé sous le lit.;7;Phrase_026;-;0;1;4
13;Emilie a le rat roux.;5;Phrase_027;4;0;1;4
13;Rio ramasse la mousse;4;Phrase_028;-;0;1;4
13;Il ramasse la mousse.;4;-;-1;0;1;4
14;Je suis Marie.;3;Phrase_029;-;0;0;4
14;Jérémie joue.;2;Phrase_030;-;0;0;4
14;Il se réjouit.;3;Phrase_031;-;0;0;4
14;"Le jour, Julie lit.";4;Phrase_032;-;0;0;4
15;"Fifi la fourmi, alertée, a fui l'ours.";7;Phrase_034;-;0;0;5
15;Jules siffla.;2;Phrase_036;-;0;0;5
15;La fourmi s'affole.;3;Phrase_038;-;0;0;5
16;Vivi a vu la louve velue. ;6;Phrase_039;-;0;0;5
16;"Je suis affamé, je vole l'olive, je l'avale.";8;Phrase_040;-;0;0;5
16;La fée Lili survole la vallée.;6;Phrase_041;-;0;0;5
16;Milo a lu le livre.;5;Phrase_042;-;0;0;5
16;Il a lu le livre.;5;-;8;0;0;5
16;Je me suis levée.;4;Phrase_043;-1;0;0;5
16;Le vélo roule.;3;Phrase_044;-1;0;0;5
17;Le voleur fuit.;3;Phrase_048;-1;0;0;5
17;Marjorie savoure le fruit savoureux.;5;Phrase_049;-;0;0;5
17;La fleur a fleuri.;4;Phrase_050;-;0;0;5
17;Léo le sérieux lit le livre.;6;Phrase_051;-;0;0;5
17;Réa l'amoureux a ramassé l'iris.;5;Phrase_052;-;0;0;5
17;Il allume le feu.;4;Phrase_053;6;0;0;5
17;L'affreux voleur a volé le jeu.;6;Phrase_054;-;0;0;5
17;La lave fume.;3;Phrase_047;4;0;0;5
17;Il va mieux.;3;Phrase_055;-;0;0;5
17;Léo va mieux.;3;-;-1;0;0;5
17;Il a eu mal.;4;Phrase_056;-;0;0;5
17;Il siffle fort.;3;-;4;0;0;5
18;Zorro a assomé le voleur.;5;Phrase_057;-;0;0;5
18;"Zoé lave le lama, il a sali sa fourrure.";9;Phrase_058;-;0;0;5
18;Mario a zéro fruit.;4;Phrase_059;-1;0;0;5
18;Le zoo ouvre le jour.;5;Phrase_060;-1;0;0;5
19;Le chat chasse le rat roux.;6;Phrase_061;-;0;0;6
19;Le chat chasse.;3;-;-1;0;0;6
19;La mouche vole.;3;Phrase_062;4;0;0;6
19;Je marche sous l'arche.;4;Phrase_063;-;0;0;6
19;Je suis sous l'arche.;4;-;-1;0;0;6
19;Charlie a arraché le chou.;5;Phrase_064;8;0;0;6
19;Le chariot roule.;3;Phrase_066;4;0;0;6
20;Zorro a un voleur.;4;-;4;0;0;6
20;Sofiane a soufflé fort sur la flamme.;7;Phrase_033;-;0;0;6
20;Un chat a marché sur le chariot.;7;Phrase_067;-;0;0;6
20;"Un ours a vu un cheval, il file.";8;Phrase_068;-;0;0;6
20;"Momo a un lit, il y va la nuit.";9;Phrase_069;-;0;0;6
20;Une vache rumine.;3;Phrase_070;-1;0;0;6
20;Un vélo roule.;3;Phrase_071;-;0;0;6
20;Un chariot roule.;3;-;4;0;0;6
20;Un navire va sur le fleuve.;6;Phrase_072;-;0;0;6
20;Un journal se lit.;4;Phrase_073;-;0;0;6
20;Il lit le journal.;4;-;-1;0;0;6
20;Un fruit se savoure.;4;Phrase_074;-;0;0;6
20;Une cheminée fume.;3;Phrase_075;-;0;0;6
20;Je lave le cheval.;4;-;6;0;0;6
20;Zoé a marché le jour.;5;-;6;0;0;6
21;Marine salue la foule.;4;-;-;0;0;6
21;La tortue a reniflé une ortie.;6;Phrase_076;-;0;0;6
21;"Tony a mal, il ne rit pas.";7;Phrase_077;-;0;0;6
21;La marmite fume.;3;Phrase_084;-1;0;0;6
21;Le matelot tire sur sa moustache.;6;Phrase_085;-;0;0;6
21;Je me suis assis sur l'ortie.;6;Phrase_086;-;0;0;6
21;La mule souffle fort.;4;Phrase_046;4;0;0;6
22;Il tarde.;2;Phrase_087;-;0;0;6
22;"Médor a mordu le chat. Le chat a mal, il fuit.";11;Phrase_088;-;0;0;6
22;Élodie dort sur un lit. Médor a sa niche.;9;Phrase_089;-;0;0;6
22;"Le jour, j'admire la nature. La nuit, j'admire la lune.";10;Phrase_090;-;0;0;6
22;Madame Dumas se lave sous la douche.;7;Phrase_091;-;0;0;6
22;Le dé roule.;3;Phrase_092;-;0;0;6
22;Le malade tousse.;3;Phrase_093;-;0;0;6
22;Le voleur a volé la trousse !;7;Phrase_094;-;0;0;6
22;Nous sommes solides.;3;Phrase_095;-;0;0;6
22;"Miam, j'avale la sardine.";4;Phrase_096;-;0;0;6
23;Marine tire sur la corde.;5;Phrase_097;-;0;0;7
23;Martine a tiré la corde.;5;-;-1;0;0;7
23;Nicolas avale du café sucré.;5;Phrase_098;-;0;0;7
23;J'avale du chocolat.;3;-;-;0;0;7
23;Élodie avale du café.;4;-;-1;0;0;7
23;Le rat savoure un radis cru.;6;Phrase_099;-;0;0;7
23;"Je lis, je calcule.";4;Phrase_100;-;0;0;7
23;J'écris un livre.;3;Phrase_101;4;0;0;7
23;La marmotte cache le chocolat.;5;Phrase_102;-;0;0;7
23;Le voleur a crocheté la serrure.;6;Phrase_103;-;0;0;7
23;Eric a vu une cane sur le lac. Corinne a vu une marmotte sur la mare.;16;Phrase_104;-;0;0;7
24;Le radis pousse.;3;;4;0;0;7
24;"Tu as trouvé le salami sur le sol. Tu ne ramasses pas le salami, il est sale.";17;Phrase_080;-;0;0;7
24;Le cheval court.;3;Phrase_065;-;0;0;7
24;Cléo porte une cravate.;4;Phrase_106;-;0;0;7
24;Il porte une cravate.;4;-;4;0;0;7
24;La clé ouvre la porte.;5;Phrase_107;-;0;0;7
24;La porte s'ouvre.;3;-;-1;0;0;7
24;Papi papote. Il fume la pipe. Mami rit.;8;Phrase_108;-;0;0;7
24;Paolo va coudre une cravate.;5;Phrase_109;-;0;0;7
24;Pédro peut coudre la cravate.;5;-;-1;0;0;7
24;Je roule sur le vélo. Je passe par un parc.;10;Phrase_110;-;0;0;7
24;"Le samedi, papa court sur la route.";7;Phrase_111;-;0;0;7
24;Papa court vite.;3;-;4;0;0;7
24;Tu écris une carte postale.;5;Phrase_112;-;0;0;7
24;Le canari picore la mie.;5;Phrase_113;8;0;0;7
24;La canne picore.;3;-;-1;0;0;7
24;"Médor a cassé un pot. Mami crie sur Médor. Médor se cache, il pleure.";14;Phrase_114;-;0;0;7
24;Le voleur cache le chocolat.;5;-;4;0;0;7
25;Qui a volé la quiche ? Médor l'a volé.  Il a tout dévoré.;13;Phrase_115;-;0;0;7
25;Le moustique pique.;3;Phrase_116;-;0;0;7
25;"Le pot se casse, le liquide coule.";7;Phrase_117;-;0;0;7
25;Véronique a croqué quatre fruits : deux mûres puis deux nectarines. Miam !;13;Phrase_118;-;0;0;7
25;Papa a remarqué que le vélo a été volé. Quel drame !;12;Phrase_119;-;0;0;7
25;Je porte un masque pour le carnaval. ;7;Phrase_120;-;0;0;7
25;Jacques quitte l'école.;3;Phrase_121;-;0;0;7
25;Je lis un livre poétique.;5;Phrase_122;-;0;0;7
25;Dominique taquine sa copine.;4;Phrase_123;-1;0;0;7
26; Je te donne un bout de chocolat.;7;Phrase_125;-;0;0;7
26;Le baobab pousse sur l'ile.;5;Phrase_126;-;0;0;7
26;La balle roule sur le sol.;6;Phrase_127;-;0;0;7
26;Une jolie bulle vole.;4;Phrase_128;6;0;0;7
26;Barbara a cassé un bol bleu.;6;Phrase_129;-;0;0;7
26;Tu as trébuché sur la route.;6;Phrase_130;-;0;0;7
26;Tu as une petite bosse.;5;Phrase_131;-;0;0;7
26;Le brave barbu nous fabrique une cabane pour la nuit.;10;Phrase_133;-;0;0;7
26;Bravo tu lis !;4;Phrase_135;2;0;0;7
26;Sabine savoure la brioche.;4;Phrase_137;-;0;0;7
27;Le cheval galope.;3;Phrase_139;4;0;0;8
27;Gustave lit un magazine de programme télé.;7;Phrase_141;-;0;0;8
27;"Je ne dors pas, je suis fatiguée.";7;Phrase_142;-;0;0;8
27;Le tigre sort de la grotte.;6;Phrase_143;-;0;0;8
27;Il s'approche du fleuve puis chasse l'alligator.;7;Phrase_144;-;0;0;8
27;Je regarde le film.;4;Phrase_145;4;0;0;8
27;Tu glisses sur la vague.;5;;-1;0;0;8
27;L'ours griffe.;2;Phrase_147;-1;0;0;8
27;La bague préférée de mamie a un rubis dessus.;9;Phrase_148;-;0;0;8
27;Un légume pousse.;3;Phrase_149;-1;0;0;8
28;Le koala marche sur l'arbre.;5;Phrase_150;-;0;0;8
28;Malika porte le képi de Papi.;6;Phrase_152;-;0;0;8
28;Papi porte un képi.;4;-;-1;0;0;8
28;Tu as un kimono pour le karaté.;7;Phrase_153;-;0;0;8
28;Patrick a la coqueluche.;4;Phrase_154;-;0;0;8
28;Un skieur l'a ramassé.;4;Phrase_157;-;0;0;8
28;Le fakir charme le cobra.;5;Phrase_158;8;0;0;8
28;Eli porte sa kippa.;4;Phrase_159;-;0;0;8
28;Malika a tout dévoré.;4;-;-1;0;0;8
29;Il a plusieurs trésors.;4;Phrase_161;4;0;0;8
29;Rose apporte sa valise.;4;Phrase_162;-;0;0;8
29;Le curé sort de l'église.;5;Phrase_164;-;0;0;8
29;"Ma cousine Louise se déguise toujours, comme Zorro, toute la journée.";11;Phrase_165;-;0;0;8
29;Je la trouve curieuse.;4;Phrase_166;-;0;0;8
29;Le pot se brise sur le sol.;7;Phrase_167;-;0;0;8
29;Je trouve le chocolat irrésistible.;5;Phrase_168;-;0;0;8
29;Le joueur de tuba joue une musique.;7;Phrase_169;-;0;0;8
29;Tu écoutes de la musique classique.;6;Phrase_170;-;0;0;8
29;Tu cuisines une quiche.;4;Phrase_171;-1;0;0;8
29;Tu visites un musée.;4;Phrase_172;-1;0;0;8
29;Tu fermes ta valise.;4;Phrase_173;6;0;0;8
29;Il renifle la rose.;4;Phrase_174;-;0;0;8
29;Je m'amuse.;2;Phrase_175;-;0;0;8
29;Papa lui a mise une claque.;6;-;-;0;0;8
30;Je suis furieuse.;3;Phrase_176;-;0;0;8
30;Tu es furieuse.;3;-;-;0;0;8
30;Tu n'as pas réfléchi.;4;Phrase_179;-;0;0;8
30;Charlotte a tous ses joujoux.;5;Phrase_078;-;0;0;8
30;Léa porte ses poupées.;4;Phrase_181;-;0;0;8
30;Papi ouvre les portes.;4;Phrase_182;-;0;0;8
30;Papa porte mes skis roses.;5;Phrase_183;6;0;0;8
